block_id,participant_id,created_on,completed_on
3,6,"2022-03-28 15:44:51","2022-03-28 15:59:20"
6,15,"2022-03-28 15:44:52",
9,33,"2022-03-28 15:45:09","2022-03-28 15:59:22"
12,36,"2022-03-28 15:45:11","2022-03-28 16:25:19"
15,39,"2022-03-28 15:45:14",
18,21,"2022-03-28 15:45:16","2022-03-28 16:18:04"
21,18,"2022-03-28 15:45:17","2022-03-28 16:11:03"
24,45,"2022-03-28 15:45:18","2022-03-28 16:04:55"
27,9,"2022-03-28 15:45:25","2022-03-28 16:21:50"
30,48,"2022-03-28 15:45:27",
33,42,"2022-03-28 15:45:31","2022-03-28 16:08:32"
36,30,"2022-03-28 15:45:32","2022-03-28 16:01:01"
39,24,"2022-03-28 15:45:35","2022-03-28 16:00:41"
42,27,"2022-03-28 15:45:44","2022-03-28 16:28:43"
45,51,"2022-03-28 15:45:50","2022-03-28 17:09:54"
48,3,"2022-03-28 15:45:50","2022-03-28 16:11:27"
51,60,"2022-03-28 15:45:52","2022-03-28 16:05:40"
54,66,"2022-03-28 15:45:54","2022-03-28 16:42:58"
57,12,"2022-03-28 15:46:08","2022-03-28 16:09:13"
60,54,"2022-03-28 15:46:10","2022-03-28 16:03:56"
63,57,"2022-03-28 15:46:11","2022-03-28 16:31:52"
66,63,"2022-03-28 15:46:19","2022-03-28 16:08:03"
69,69,"2022-03-28 15:46:23","2022-03-28 16:13:02"
72,72,"2022-03-28 15:46:33","2022-03-28 16:12:02"
75,78,"2022-03-28 15:46:42","2022-03-28 16:02:04"
78,75,"2022-03-28 15:46:54","2022-03-28 16:03:49"
81,81,"2022-03-28 15:47:59","2022-03-28 17:05:27"
84,84,"2022-03-28 15:48:22","2022-03-28 16:04:07"
87,15,"2022-03-28 15:49:25",
90,87,"2022-03-28 15:49:50",
93,6,"2022-03-28 15:59:29","2022-03-28 16:10:59"
96,24,"2022-03-28 16:01:20","2022-03-28 16:10:19"
99,75,"2022-03-28 16:04:46",
102,84,"2022-03-28 16:04:53","2022-03-28 16:15:22"
105,45,"2022-03-28 16:05:12","2022-03-28 16:23:55"
108,60,"2022-03-28 16:05:56","2022-03-28 16:20:45"
111,12,"2022-03-28 16:09:42","2022-03-28 16:44:55"
114,24,"2022-03-28 16:10:40","2022-03-28 16:18:32"
117,6,"2022-03-28 16:11:02","2022-03-28 16:25:01"
120,90,"2022-03-28 16:12:15","2022-03-28 16:42:56"
123,3,"2022-03-28 16:12:28","2022-03-28 16:23:25"
126,18,"2022-03-28 16:12:54","2022-03-28 16:38:14"
129,72,"2022-03-28 16:13:47","2022-03-28 16:34:12"
132,69,"2022-03-28 16:15:23","2022-03-28 16:42:27"
135,24,"2022-03-28 16:18:36","2022-03-28 16:27:18"
138,6,"2022-03-28 16:25:06","2022-03-28 16:36:58"
141,36,"2022-03-28 16:25:34","2022-03-28 16:43:52"
144,45,"2022-03-28 16:26:06","2022-03-28 16:40:51"
147,24,"2022-03-28 16:27:30","2022-03-28 16:34:52"
150,24,"2022-03-28 16:34:58","2022-03-28 16:41:23"
153,72,"2022-03-28 16:35:23","2022-03-28 16:53:33"
156,6,"2022-03-28 16:37:03","2022-03-28 16:47:23"
159,18,"2022-03-28 16:39:35",
162,45,"2022-03-28 16:41:02","2022-03-28 16:55:13"
165,24,"2022-03-28 16:41:28","2022-03-28 16:48:30"
168,69,"2022-03-28 16:44:12","2022-03-28 17:06:36"
171,90,"2022-03-28 16:44:42","2022-03-28 17:00:19"
174,12,"2022-03-28 16:45:18","2022-03-28 17:07:46"
177,6,"2022-03-28 16:47:29","2022-03-28 16:55:27"
180,24,"2022-03-28 16:48:35","2022-03-28 16:57:02"
183,93,"2022-03-28 16:59:50","2022-03-28 17:17:54"
186,69,"2022-03-28 17:13:39","2022-03-28 17:32:00"
189,99,"2022-03-28 17:18:10","2022-03-28 17:56:48"
192,96,"2022-03-28 17:18:33","2022-03-28 17:37:50"
195,93,"2022-03-28 17:18:39","2022-03-28 17:35:11"
198,102,"2022-03-28 17:20:15","2022-03-28 17:43:27"
201,69,"2022-03-28 17:32:33","2022-03-28 17:47:59"
204,96,"2022-03-28 17:40:01","2022-03-28 17:53:41"
207,69,"2022-03-28 17:48:17","2022-03-28 18:04:27"
210,102,"2022-03-28 17:49:38","2022-03-28 18:06:11"
213,96,"2022-03-28 17:54:11","2022-03-28 18:06:22"
216,99,"2022-03-28 17:57:23","2022-03-28 18:16:49"
219,69,"2022-03-28 18:04:37","2022-03-28 18:19:41"
222,96,"2022-03-28 18:06:52","2022-03-28 18:17:06"
225,102,"2022-03-28 18:08:10","2022-03-28 18:25:51"
228,96,"2022-03-28 18:17:18","2022-03-28 18:28:37"
231,99,"2022-03-28 18:17:55","2022-03-28 18:33:35"
234,69,"2022-03-28 18:20:23","2022-03-28 18:34:48"
237,102,"2022-03-28 18:27:57","2022-03-28 18:45:23"
240,99,"2022-03-28 18:34:33","2022-03-28 18:50:08"
243,102,"2022-03-28 18:48:17","2022-03-28 19:09:37"
246,102,"2022-03-28 19:36:10","2022-03-28 19:57:57"
249,102,"2022-03-28 19:59:01","2022-03-28 20:21:57"
252,102,"2022-03-28 20:22:42","2022-03-28 20:49:11"
